Date,D0,D1,D2,Value
1988-01,E,T,WMF,4825.527
1988-01,E,T,N,
1988-01,E,T,R,
1988-01,E,MAE,WMF,961.034
1988-01,E,MAE,N,
1988-01,E,MAE,R,
1988-01,E,PUB,WMF,247.84
1988-01,E,PUB,N,
1988-01,E,PUB,R,
1988-01,E,C,WMF,649.854
1988-01,E,C,N,
1988-01,E,C,R,
1988-01,E,TBS0,WMF,563.812
1988-01,E,TBS0,N,
1988-01,E,TBS0,R,
1988-01,E,F,WMF,521.66
1988-01,E,F,N,
1988-01,E,F,R,
1988-01,A,T,WMF,4595.368
1988-01,A,T,N,
1988-01,A,T,R,
1988-01,A,MAE,WMF,1321.907
1988-01,A,MAE,N,
1988-01,A,MAE,R,
1988-01,A,C,WMF,1279.311
1988-01,A,C,N,
1988-01,A,C,R,
1988-01,A,M,WMF,454.4
1988-01,A,M,N,
1988-01,A,M,R,
1988-01,A,U,WMF,272.616
1988-01,A,U,N,
1988-01,A,U,R,
1988-01,A,P,WMF,268.128
1988-01,A,P,N,
1988-01,A,P,R,
1988-01,A,TBS1,WMF,342.11
1988-01,A,TBS1,N,
1988-01,A,TBS1,R,
1988-01,H,T,WMF,-230.159
1988-02,E,T,WMF,6167.179
1988-02,E,T,N,
1988-02,E,T,R,
1988-02,E,MAE,WMF,1271.603
1988-02,E,MAE,N,
1988-02,E,MAE,R,
1988-02,E,PUB,WMF,350.152
1988-02,E,PUB,N,
1988-02,E,PUB,R,
1988-02,E,C,WMF,738.638
1988-02,E,C,N,
1988-02,E,C,R,
1988-02,E,TBS0,WMF,755.287
1988-02,E,TBS0,N,
1988-02,E,TBS0,R,
1988-02,E,F,WMF,785.382
1988-02,E,F,N,
1988-02,E,F,R,
1988-02,A,T,WMF,5411.835
1988-02,A,T,N,
1988-02,A,T,R,
1988-02,A,MAE,WMF,1642.157
1988-02,A,MAE,N,
1988-02,A,MAE,R,
1988-02,A,C,WMF,1331.31
1988-02,A,C,N,
1988-02,A,C,R,
1988-02,A,M,WMF,511.497
1988-02,A,M,N,
1988-02,A,M,R,
1988-02,A,U,WMF,390.965
1988-02,A,U,N,
1988-02,A,U,R,
1988-02,A,P,WMF,330.853
1988-02,A,P,N,
1988-02,A,P,R,
1988-02,A,TBS1,WMF,370.872
1988-02,A,TBS1,N,
1988-02,A,TBS1,R,
1988-02,H,T,WMF,-755.344
1988-03,E,T,WMF,7113.594
1988-03,E,T,N,
1988-03,E,T,R,
1988-03,E,MAE,WMF,1520.68
1988-03,E,MAE,N,
1988-03,E,MAE,R,
1988-03,E,PUB,WMF,387.913
1988-03,E,PUB,N,
1988-03,E,PUB,R,
1988-03,E,C,WMF,854.374
1988-03,E,C,N,
1988-03,E,C,R,
1988-03,E,TBS0,WMF,791.161
1988-03,E,TBS0,N,
1988-03,E,TBS0,R,
1988-03,E,F,WMF,926.599
1988-03,E,F,N,
1988-03,E,F,R,
1988-03,A,T,WMF,6323.802
1988-03,A,T,N,
1988-03,A,T,R,
1988-03,A,MAE,WMF,2041.524
1988-03,A,MAE,N,
1988-03,A,MAE,R,
1988-03,A,C,WMF,1431.796
1988-03,A,C,N,
1988-03,A,C,R,
1988-03,A,M,WMF,598.264
1988-03,A,M,N,
1988-03,A,M,R,
1988-03,A,U,WMF,445.89
1988-03,A,U,N,
1988-03,A,U,R,
1988-03,A,P,WMF,374.176
1988-03,A,P,N,
1988-03,A,P,R,
1988-03,A,TBS1,WMF,423.538
1988-03,A,TBS1,N,
1988-03,A,TBS1,R,
1988-03,H,T,WMF,-789.792
1988-04,E,T,WMF,6213.408
1988-04,E,T,N,
1988-04,E,T,R,
1988-04,E,MAE,WMF,1403.323
1988-04,E,MAE,N,
1988-04,E,MAE,R,
1988-04,E,PUB,WMF,326.827
1988-04,E,PUB,N,
1988-04,E,PUB,R,
1988-04,E,C,WMF,742.078
1988-04,E,C,N,
1988-04,E,C,R,
1988-04,E,TBS0,WMF,528.754
1988-04,E,TBS0,N,
1988-04,E,TBS0,R,
1988-04,E,F,WMF,859.896
1988-04,E,F,N,
1988-04,E,F,R,
1988-04,A,T,WMF,5495.761
1988-04,A,T,N,
1988-04,A,T,R,
1988-04,A,MAE,WMF,1735.802
1988-04,A,MAE,N,
1988-04,A,MAE,R,
1988-04,A,C,WMF,1416.135
1988-04,A,C,N,
1988-04,A,C,R,
1988-04,A,M,WMF,511.06
1988-04,A,M,N,
1988-04,A,M,R,
