"","Date","D0","D1","Value","timeID"
"1","1914-01","M0","CHF/Euro",NA,1914
"2","1914-01","M0","CHF/Britisches Pfund",25.28,1914
"3","1914-01","M0","CHF/100 Daenische Kronen",NA,1914
"4","1914-01","M0","CHF/100 Norwegische Kronen",NA,1914
"5","1914-01","M0","CHF/100 Tschechische Kronen",NA,1914
"6","1914-01","M0","CHF/100 Ungarische Forint",NA,1914
"7","1914-01","M0","CHF/100 Polnische Zloty",NA,1914
"8","1914-01","M0","CHF/100 Rubel",NA,1914
"9","1914-01","M0","CHF/100 Schwedische Kronen",NA,1914
"10","1914-01","M0","CHF/100 Tuerkische Lira",NA,1914
"11","1914-01","M0","CHF/US Dollar",5.186,1914
"12","1914-01","M0","CHF/Kanadische Dollar",NA,1914
"13","1914-01","M0","CHF/100 Argentinische Pesos",NA,1914
"14","1914-01","M0","CHF/100 Brasilianische Real",NA,1914
"15","1914-01","M0","CHF/100 Mexikanische Pesos",NA,1914
"16","1914-01","M0","CHF/Suedafrikanischer Rand",NA,1914
"17","1914-01","M0","CHF/100 Japanische Yen",NA,1914
"18","1914-01","M0","CHF/Australischer Dollar",NA,1914
"19","1914-01","M0","CHF/100 Chinesische Yuan",NA,1914
"20","1914-01","M0","CHF/100 Hongkong Dollars",NA,1914
"21","1914-01","M0","CHF/100 Koreanische Won",NA,1914
"22","1914-01","M0","CHF/100 Malaysische Ringgit",NA,1914
"23","1914-01","M0","CHF/Neuseeländischer Dollar",NA,1914
"24","1914-01","M0","CHF/100 Singapur-Dollars",NA,1914
"25","1914-01","M0","CHF/100 Thailaendische Baht",NA,1914
"26","1914-01","M0","CHF/Sonderziehungsrecht",NA,1914
"53","1914-02","M0","CHF/Euro",NA,1914.08333333333
"54","1914-02","M0","CHF/Britisches Pfund",25.195,1914.08333333333
"55","1914-02","M0","CHF/100 Daenische Kronen",NA,1914.08333333333
"56","1914-02","M0","CHF/100 Norwegische Kronen",NA,1914.08333333333
"57","1914-02","M0","CHF/100 Tschechische Kronen",NA,1914.08333333333
"58","1914-02","M0","CHF/100 Ungarische Forint",NA,1914.08333333333
"59","1914-02","M0","CHF/100 Polnische Zloty",NA,1914.08333333333
"60","1914-02","M0","CHF/100 Rubel",NA,1914.08333333333
"61","1914-02","M0","CHF/100 Schwedische Kronen",NA,1914.08333333333
"62","1914-02","M0","CHF/100 Tuerkische Lira",NA,1914.08333333333
"63","1914-02","M0","CHF/US Dollar",5.178,1914.08333333333
"64","1914-02","M0","CHF/Kanadische Dollar",NA,1914.08333333333
"65","1914-02","M0","CHF/100 Argentinische Pesos",NA,1914.08333333333
"66","1914-02","M0","CHF/100 Brasilianische Real",NA,1914.08333333333
"67","1914-02","M0","CHF/100 Mexikanische Pesos",NA,1914.08333333333
"68","1914-02","M0","CHF/Suedafrikanischer Rand",NA,1914.08333333333
"69","1914-02","M0","CHF/100 Japanische Yen",NA,1914.08333333333
"70","1914-02","M0","CHF/Australischer Dollar",NA,1914.08333333333
"71","1914-02","M0","CHF/100 Chinesische Yuan",NA,1914.08333333333
"72","1914-02","M0","CHF/100 Hongkong Dollars",NA,1914.08333333333
"73","1914-02","M0","CHF/100 Koreanische Won",NA,1914.08333333333
"74","1914-02","M0","CHF/100 Malaysische Ringgit",NA,1914.08333333333
"75","1914-02","M0","CHF/Neuseeländischer Dollar",NA,1914.08333333333
"76","1914-02","M0","CHF/100 Singapur-Dollars",NA,1914.08333333333
"77","1914-02","M0","CHF/100 Thailaendische Baht",NA,1914.08333333333
"78","1914-02","M0","CHF/Sonderziehungsrecht",NA,1914.08333333333
"105","1914-03","M0","CHF/Euro",NA,1914.16666666667
"106","1914-03","M0","CHF/Britisches Pfund",25.207,1914.16666666667
"107","1914-03","M0","CHF/100 Daenische Kronen",NA,1914.16666666667
"108","1914-03","M0","CHF/100 Norwegische Kronen",NA,1914.16666666667
"109","1914-03","M0","CHF/100 Tschechische Kronen",NA,1914.16666666667
"110","1914-03","M0","CHF/100 Ungarische Forint",NA,1914.16666666667
"111","1914-03","M0","CHF/100 Polnische Zloty",NA,1914.16666666667
"112","1914-03","M0","CHF/100 Rubel",NA,1914.16666666667
"113","1914-03","M0","CHF/100 Schwedische Kronen",NA,1914.16666666667
"114","1914-03","M0","CHF/100 Tuerkische Lira",NA,1914.16666666667
"115","1914-03","M0","CHF/US Dollar",5.177,1914.16666666667
"116","1914-03","M0","CHF/Kanadische Dollar",NA,1914.16666666667
"117","1914-03","M0","CHF/100 Argentinische Pesos",NA,1914.16666666667
"118","1914-03","M0","CHF/100 Brasilianische Real",NA,1914.16666666667
"119","1914-03","M0","CHF/100 Mexikanische Pesos",NA,1914.16666666667
"120","1914-03","M0","CHF/Suedafrikanischer Rand",NA,1914.16666666667
"121","1914-03","M0","CHF/100 Japanische Yen",NA,1914.16666666667
"122","1914-03","M0","CHF/Australischer Dollar",NA,1914.16666666667
"123","1914-03","M0","CHF/100 Chinesische Yuan",NA,1914.16666666667
"124","1914-03","M0","CHF/100 Hongkong Dollars",NA,1914.16666666667
"125","1914-03","M0","CHF/100 Koreanische Won",NA,1914.16666666667
"126","1914-03","M0","CHF/100 Malaysische Ringgit",NA,1914.16666666667
"127","1914-03","M0","CHF/Neuseeländischer Dollar",NA,1914.16666666667
"128","1914-03","M0","CHF/100 Singapur-Dollars",NA,1914.16666666667
"129","1914-03","M0","CHF/100 Thailaendische Baht",NA,1914.16666666667
"130","1914-03","M0","CHF/Sonderziehungsrecht",NA,1914.16666666667
