,Date,D0,D1,Value
0,1914-01,M0,EUR1,
1,1914-01,M0,GBP1,25.28
2,1914-01,M0,DKK100,
3,1914-01,M0,NOK100,
4,1914-01,M0,CZK100,
5,1914-01,M0,HUF100,
6,1914-01,M0,PLN100,
7,1914-01,M0,RUB100,
8,1914-01,M0,SEK100,
9,1914-01,M0,TRY100,
10,1914-01,M0,USD1,5.186
11,1914-01,M0,CAD1,
12,1914-01,M0,ARS100,
13,1914-01,M0,BRL100,
14,1914-01,M0,MXN100,
15,1914-01,M0,ZAR1,
16,1914-01,M0,JPY100,
17,1914-01,M0,AUD1,
18,1914-01,M0,CNY100,
19,1914-01,M0,HKD100,
20,1914-01,M0,KRW100,
21,1914-01,M0,MYR100,
22,1914-01,M0,NZD1,
23,1914-01,M0,SGD100,
24,1914-01,M0,THB100,
25,1914-01,M0,XDR1,
26,1914-01,M1,EUR1,
27,1914-01,M1,GBP1,
28,1914-01,M1,DKK100,
29,1914-01,M1,NOK100,
30,1914-01,M1,CZK100,
31,1914-01,M1,HUF100,
32,1914-01,M1,PLN100,
33,1914-01,M1,RUB100,
34,1914-01,M1,SEK100,
35,1914-01,M1,TRY100,
36,1914-01,M1,USD1,
37,1914-01,M1,CAD1,
38,1914-01,M1,ARS100,
39,1914-01,M1,BRL100,
40,1914-01,M1,MXN100,
41,1914-01,M1,ZAR1,
42,1914-01,M1,JPY100,
43,1914-01,M1,AUD1,
44,1914-01,M1,CNY100,
45,1914-01,M1,HKD100,
46,1914-01,M1,KRW100,
47,1914-01,M1,MYR100,
48,1914-01,M1,NZD1,
49,1914-01,M1,SGD100,
50,1914-01,M1,THB100,
51,1914-01,M1,XDR1,
52,1914-02,M0,EUR1,
53,1914-02,M0,GBP1,25.195
54,1914-02,M0,DKK100,
55,1914-02,M0,NOK100,
56,1914-02,M0,CZK100,
57,1914-02,M0,HUF100,
58,1914-02,M0,PLN100,
59,1914-02,M0,RUB100,
60,1914-02,M0,SEK100,
61,1914-02,M0,TRY100,
62,1914-02,M0,USD1,5.178
63,1914-02,M0,CAD1,
64,1914-02,M0,ARS100,
65,1914-02,M0,BRL100,
66,1914-02,M0,MXN100,
67,1914-02,M0,ZAR1,
68,1914-02,M0,JPY100,
69,1914-02,M0,AUD1,
70,1914-02,M0,CNY100,
71,1914-02,M0,HKD100,
72,1914-02,M0,KRW100,
73,1914-02,M0,MYR100,
74,1914-02,M0,NZD1,
