"","Date","D0","D1","D2","Value","timeID"
"1","1988-01","Einfuhr","Total","Wert in Millionen Franken",4825.527,1988
"2","1988-01","Einfuhr","Total","Veraenderung gegenueber dem Vorjahr in % - nominal",NA,1988
"3","1988-01","Einfuhr","Total","Veraenderung gegenueber dem Vorjahr in % - real",NA,1988
"4","1988-01","Einfuhr","Maschinen, Apparate und Elektronik","Wert in Millionen Franken",961.034,1988
"5","1988-01","Einfuhr","Maschinen, Apparate und Elektronik","Veraenderung gegenueber dem Vorjahr in % - nominal",NA,1988
"6","1988-01","Einfuhr","Maschinen, Apparate und Elektronik","Veraenderung gegenueber dem Vorjahr in % - real",NA,1988
"7","1988-01","Einfuhr","Praezisionsinstrumente, Uhren, Bijouterie","Wert in Millionen Franken",247.84,1988
"8","1988-01","Einfuhr","Praezisionsinstrumente, Uhren, Bijouterie","Veraenderung gegenueber dem Vorjahr in % - nominal",NA,1988
"9","1988-01","Einfuhr","Praezisionsinstrumente, Uhren, Bijouterie","Veraenderung gegenueber dem Vorjahr in % - real",NA,1988
"10","1988-01","Einfuhr","Chemikalien","Wert in Millionen Franken",649.854,1988
"11","1988-01","Einfuhr","Chemikalien","Veraenderung gegenueber dem Vorjahr in % - nominal",NA,1988
"12","1988-01","Einfuhr","Chemikalien","Veraenderung gegenueber dem Vorjahr in % - real",NA,1988
"13","1988-01","Einfuhr","Textilien, Bekleidung, Schuhe","Wert in Millionen Franken",563.812,1988
"14","1988-01","Einfuhr","Textilien, Bekleidung, Schuhe","Veraenderung gegenueber dem Vorjahr in % - nominal",NA,1988
"15","1988-01","Einfuhr","Textilien, Bekleidung, Schuhe","Veraenderung gegenueber dem Vorjahr in % - real",NA,1988
"16","1988-01","Einfuhr","Fahrzeuge","Wert in Millionen Franken",521.66,1988
"17","1988-01","Einfuhr","Fahrzeuge","Veraenderung gegenueber dem Vorjahr in % - nominal",NA,1988
"18","1988-01","Einfuhr","Fahrzeuge","Veraenderung gegenueber dem Vorjahr in % - real",NA,1988
"19","1988-01","Ausfuhr","Total","Wert in Millionen Franken",4595.368,1988
"20","1988-01","Ausfuhr","Total","Veraenderung gegenueber dem Vorjahr in % - nominal",NA,1988
"21","1988-01","Ausfuhr","Total","Veraenderung gegenueber dem Vorjahr in % - real",NA,1988
"22","1988-01","Ausfuhr","Maschinen, Apparate und Elektronik","Wert in Millionen Franken",1321.907,1988
"23","1988-01","Ausfuhr","Maschinen, Apparate und Elektronik","Veraenderung gegenueber dem Vorjahr in % - nominal",NA,1988
"24","1988-01","Ausfuhr","Maschinen, Apparate und Elektronik","Veraenderung gegenueber dem Vorjahr in % - real",NA,1988
"25","1988-01","Ausfuhr","Chemikalien","Wert in Millionen Franken",1279.311,1988
"26","1988-01","Ausfuhr","Chemikalien","Veraenderung gegenueber dem Vorjahr in % - nominal",NA,1988
"27","1988-01","Ausfuhr","Chemikalien","Veraenderung gegenueber dem Vorjahr in % - real",NA,1988
"28","1988-01","Ausfuhr","Metalle","Wert in Millionen Franken",454.4,1988
"29","1988-01","Ausfuhr","Metalle","Veraenderung gegenueber dem Vorjahr in % - nominal",NA,1988
"30","1988-01","Ausfuhr","Metalle","Veraenderung gegenueber dem Vorjahr in % - real",NA,1988
"31","1988-01","Ausfuhr","Uhren","Wert in Millionen Franken",272.616,1988
"32","1988-01","Ausfuhr","Uhren","Veraenderung gegenueber dem Vorjahr in % - nominal",NA,1988
"33","1988-01","Ausfuhr","Uhren","Veraenderung gegenueber dem Vorjahr in % - real",NA,1988
"34","1988-01","Ausfuhr","Praezisionsinstrumente","Wert in Millionen Franken",268.128,1988
"35","1988-01","Ausfuhr","Praezisionsinstrumente","Veraenderung gegenueber dem Vorjahr in % - nominal",NA,1988
"36","1988-01","Ausfuhr","Praezisionsinstrumente","Veraenderung gegenueber dem Vorjahr in % - real",NA,1988
"37","1988-01","Ausfuhr","Praezisionsinstrumente, Uhren, Bijouterie","Wert in Millionen Franken",342.11,1988
"38","1988-01","Ausfuhr","Praezisionsinstrumente, Uhren, Bijouterie","Veraenderung gegenueber dem Vorjahr in % - nominal",NA,1988
"39","1988-01","Ausfuhr","Praezisionsinstrumente, Uhren, Bijouterie","Veraenderung gegenueber dem Vorjahr in % - real",NA,1988
"40","1988-01","Handelsbilanzsaldo","Total","Wert in Millionen Franken",-230.159,1988
"41","1988-02","Einfuhr","Total","Wert in Millionen Franken",6167.179,1988.08333333333
"42","1988-02","Einfuhr","Total","Veraenderung gegenueber dem Vorjahr in % - nominal",NA,1988.08333333333
"43","1988-02","Einfuhr","Total","Veraenderung gegenueber dem Vorjahr in % - real",NA,1988.08333333333
"44","1988-02","Einfuhr","Maschinen, Apparate und Elektronik","Wert in Millionen Franken",1271.603,1988.08333333333
"45","1988-02","Einfuhr","Maschinen, Apparate und Elektronik","Veraenderung gegenueber dem Vorjahr in % - nominal",NA,1988.08333333333
"46","1988-02","Einfuhr","Maschinen, Apparate und Elektronik","Veraenderung gegenueber dem Vorjahr in % - real",NA,1988.08333333333
"47","1988-02","Einfuhr","Praezisionsinstrumente, Uhren, Bijouterie","Wert in Millionen Franken",350.152,1988.08333333333
"48","1988-02","Einfuhr","Praezisionsinstrumente, Uhren, Bijouterie","Veraenderung gegenueber dem Vorjahr in % - nominal",NA,1988.08333333333
"49","1988-02","Einfuhr","Praezisionsinstrumente, Uhren, Bijouterie","Veraenderung gegenueber dem Vorjahr in % - real",NA,1988.08333333333
