"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2014","2014","IDX","Index","0","Units","2010_100","2010=100",109.2554,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2015","2015","IDX","Index","0","Units","2010_100","2010=100",110.5486,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2016","2016","IDX","Index","0","Units","2010_100","2010=100",111.8875,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2014-Q1","Q1-2014","IDX","Index","0","Units","2010_100","2010=100",107.5574,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2014-Q2","Q2-2014","IDX","Index","0","Units","2010_100","2010=100",109.1452,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2014-Q3","Q3-2014","IDX","Index","0","Units","2010_100","2010=100",110.2998,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2014-Q4","Q4-2014","IDX","Index","0","Units","2010_100","2010=100",109.9295,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2015-Q1","Q1-2015","IDX","Index","0","Units","2010_100","2010=100",110.2722,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2015-Q2","Q2-2015","IDX","Index","0","Units","2010_100","2010=100",109.3384,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2015-Q3","Q3-2015","IDX","Index","0","Units","2010_100","2010=100",111.3801,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2015-Q4","Q4-2015","IDX","Index","0","Units","2010_100","2010=100",111.0135,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2016-Q1","Q1-2016","IDX","Index","0","Units","2010_100","2010=100",112.9071,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2016-Q2","Q2-2016","IDX","Index","0","Units","2010_100","2010=100",112.1983,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2016-Q3","Q3-2016","IDX","Index","0","Units","2010_100","2010=100",110.7477,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2016-Q4","Q4-2016","IDX","Index","0","Units","2010_100","2010=100",111.8601,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2017-Q1","Q1-2017","IDX","Index","0","Units","2010_100","2010=100",112.1964,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2017-Q2","Q2-2017","IDX","Index","0","Units","2010_100","2010=100",113.0081,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","A","Annual","2014","2014","IDX","Index","0","Units","2010_100","2010=100",94.1382,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","A","Annual","2015","2015","IDX","Index","0","Units","2010_100","2010=100",92.53268,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","A","Annual","2016","2016","IDX","Index","0","Units","2010_100","2010=100",89.90391,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2014-Q1","Q1-2014","IDX","Index","0","Units","2010_100","2010=100",93.79619,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2014-Q2","Q2-2014","IDX","Index","0","Units","2010_100","2010=100",95.12021,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2014-Q3","Q3-2014","IDX","Index","0","Units","2010_100","2010=100",93.9539,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2014-Q4","Q4-2014","IDX","Index","0","Units","2010_100","2010=100",93.87688,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2015-Q1","Q1-2015","IDX","Index","0","Units","2010_100","2010=100",93.74117,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2015-Q2","Q2-2015","IDX","Index","0","Units","2010_100","2010=100",93.081,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2015-Q3","Q3-2015","IDX","Index","0","Units","2010_100","2010=100",92.43549,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2015-Q4","Q4-2015","IDX","Index","0","Units","2010_100","2010=100",90.92076,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2016-Q1","Q1-2016","IDX","Index","0","Units","2010_100","2010=100",90.34494,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2016-Q2","Q2-2016","IDX","Index","0","Units","2010_100","2010=100",90.39262,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2016-Q3","Q3-2016","IDX","Index","0","Units","2010_100","2010=100",89.96351,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2016-Q4","Q4-2016","IDX","Index","0","Units","2010_100","2010=100",89.18597,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2017-Q1","Q1-2017","IDX","Index","0","Units","2010_100","2010=100",88.4231,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2017-Q2","Q2-2017","IDX","Index","0","Units","2010_100","2010=100",90.01118,,
