Date,year,month,DateNum,Exp_All_N,Exp_All_R,Exp_All_WMF,Exp_Chemistry_N,Exp_Chemistry_R,Exp_Chemistry_WMF,Exp_Clothing_N,Exp_Clothing_R,Exp_Clothing_WMF,Exp_Machines_N,Exp_Machines_R,Exp_Machines_WMF,Exp_Metals_N,Exp_Metals_R,Exp_Metals_WMF,Exp_PrecisionNarr_N,Exp_PrecisionNarr_R,Exp_PrecisionNarr_WMF,Exp_Watches_N,Exp_Watches_R,Exp_Watches_WMF,Imp_All_N,Imp_All_R,Imp_All_WMF,Imp_Chemistry_N,Imp_Chemistry_R,Imp_Chemistry_WMF,Imp_Clothing_N,Imp_Clothing_R,Imp_Clothing_WMF,Imp_Machines_N,Imp_Machines_R,Imp_Machines_WMF,Imp_Precision_N,Imp_Precision_R,Imp_Precision_WMF,Imp_Vehicles_N,Imp_Vehicles_R,Imp_Vehicles_WMF,TradeBal_All_WMF,EUR,USD,gEUR,gUSD
2001-01,2001,1,2001,18.1,15.6,10602.254,26.1,24.6,3620.523,14.2,13,352.282,13.3,9.3,2745.304,12,11.1,897.958,14.5,19.4,632.151,23.2,20.9,767.949,18.2,15.4,10821.43,26,27.7,1977.428,11,12.2,860.277,18.5,16.7,2721.54,23.5,18.1,611.089,9.8,2.1,1024.92,-219.176,1.5291,1.6291,NA,NA
2001-02,2001,2,2001.0833333333333,6.1,3,11007.433,6.2,2.9,3472.109,-1.7,-2,343.988,2.1,1.3,3002.83,1,-3.3,902.768,13,8.6,693.319,20.6,9,904.951,6.4,4.3,11003.632,24.2,22.3,2017.925,-2.9,-4.9,875.551,0.2,-0.2,2498.283,12.2,7.9,661.229,15,7.3,1325.347,3.801,1.5355,1.6661,0.4185468576286766,2.2711926830765394
2001-03,2001,3,2001.1666666666667,8.1,6.9,12222.165,11.6,11.4,3789.56,-1.6,-1.2,369.109,12.6,12.9,3641.186,0.7,-0.5,1021.759,10.4,9.4,783.823,-3.3,-10.6,788.93,4.3,2.6,12219.27,24.1,25.3,2307.182,-0.4,-1.3,872.25,2.9,0.2,2883.358,13.6,12.5,861.934,-11.5,-14.7,1362.738,2.895,1.5357,1.6878,0.013025073266037523,1.3024428305624003
2001-04,2001,4,2001.25,15.1,11.8,10588.611,34.4,24.9,3452.248,7.2,8.1,300.113,8.9,8.4,2903.896,5.5,3.7,869.307,4,7.3,672.814,5.9,6.5,792.805,17.5,15.3,11168.107,41.1,40.8,2387.575,11.8,9.1,643.095,9.5,8.9,2524.508,15.5,9.3,681.507,18.7,12.4,1267.737,-579.496,1.5287,1.712,-0.45581819365762,1.4338191728877847
2001-05,2001,5,2001.3333333333333,2.7,1.7,11856.067,15.1,15.9,3878.814,-6.2,-8.6,315.738,-5.8,-5.6,3166.293,-9.7,-8.6,943.229,4.6,6.9,748.084,-2.5,-8.8,906.626,-0.3,-2.7,11458.001,19.1,12.6,2192.472,0.5,-2.3,633.214,-11.5,-10.6,2558.336,2.1,-3.6,704.028,-9,-13.2,1382.799,398.066,1.5337,1.7519,0.3270752927323928,2.3306074766355156
2001-06,2001,6,2001.4166666666667,8.8,6.6,11279.213,22.6,16.4,3576.276,8.4,8.4,336.553,1,2.5,3081.825,2.4,-0.5,917.376,11.2,17.2,723.758,7.8,1.8,915.336,4.2,3.1,10921.866,20.3,17.8,2214.431,8.9,5.9,663.895,-3.5,-1.9,2458.684,3.1,0.5,716.873,-3.3,-4,1304.341,357.347,1.5225,1.7827,-0.7302601551802845,1.7580912152520112
2001-07,2001,7,2001.5,10.5,7.7,11436.597,25.5,21.3,3631.763,11.6,8.2,374.717,-0.3,-1.7,3106.773,1.8,0.5,924.029,7.6,10.9,686.812,15,10.5,978.891,7.6,3,11416.027,20.9,4.4,2368.541,11.8,8.3,946.801,-2.5,-2.6,2509.087,6.9,-0.4,720.201,15.2,6.6,1206.219,20.57,1.5134,1.7602,-0.5977011494252782,-1.2621304762438945
2001-08,2001,8,2001.5833333333333,1.2,-0.7,9548.009,9.8,5.1,3144.688,6.9,3.6,257.007,-4.9,-2.4,2611.256,-5.1,-5.5,713.501,4.5,5.3,618.557,9.5,0,718.905,-3.2,-1.7,9863.083,23.6,22.6,2165.162,-1,-3.6,839.151,-15.6,-11.6,2136.569,4.6,3.1,585.132,-17.6,-15.5,917.221,-315.074,1.5144,1.6799,0.06607638430025098,-4.561981593000796
2001-09,2001,9,2001.6666666666667,-8.9,-8.8,10367.164,4.8,3.5,3223.053,-4.6,-6.8,355.971,-16.2,-13.5,2792.371,-12.9,-12.4,838.699,-6.4,-0.3,658.945,-7.9,-18.5,836.395,-6.2,-2.5,9975.969,23.1,25.6,1915.767,-5.4,-6.2,817.498,-19.7,-12.4,2172.839,-12.2,-14.5,629.609,0.6,-1.6,989.424,391.195,1.4919,1.6386,-1.4857369255150576,-2.4584796714090085
2001-10,2001,10,2001.75,4.5,3.2,12091.488,26.4,18.7,3871.772,-5,-3.8,343.843,-8.4,-8.7,3111.517,-7.2,-5.5,913.558,7.6,9.1,784.333,6,2.3,1139.388,-1.5,1.3,11758.01,23,15.5,2654.724,-3.5,-1.9,721.212,-11.4,-4.5,2538.073,0.6,3.9,767.728,-12.4,-12.2,1204.324,333.478,1.4796,1.6329,-0.8244520410215173,-0.3478579274990845
