"CubeId";"ausshawarm"
"PublishingDate";"2017-09-21 09:00"

"Date";"D0";"D1";"D2";"Value"
"2001-01";"E";"T";"WMF";"10821.43"
"2001-01";"E";"T";"N";"18.2"
"2001-01";"E";"T";"R";"15.4"
"2001-01";"E";"MAE";"WMF";"2721.54"
"2001-01";"E";"MAE";"N";"18.5"
"2001-01";"E";"MAE";"R";"16.7"
"2001-01";"E";"PUB";"WMF";"611.089"
"2001-01";"E";"PUB";"N";"23.5"
"2001-01";"E";"PUB";"R";"18.1"
"2001-01";"E";"C";"WMF";"1977.428"
"2001-01";"E";"C";"N";"26"
"2001-01";"E";"C";"R";"27.7"
"2001-01";"E";"TBS0";"WMF";"860.277"
"2001-01";"E";"TBS0";"N";"11"
"2001-01";"E";"TBS0";"R";"12.2"
"2001-01";"E";"F";"WMF";"1024.92"
"2001-01";"E";"F";"N";"9.8"
"2001-01";"E";"F";"R";"2.1"
"2001-01";"A";"T";"WMF";"10602.254"
"2001-01";"A";"T";"N";"18.1"
"2001-01";"A";"T";"R";"15.6"
"2001-01";"A";"MAE";"WMF";"2745.304"
"2001-01";"A";"MAE";"N";"13.3"
"2001-01";"A";"MAE";"R";"9.3"
"2001-01";"A";"C";"WMF";"3620.523"
"2001-01";"A";"C";"N";"26.1"
"2001-01";"A";"C";"R";"24.6"
"2001-01";"A";"M";"WMF";"897.958"
"2001-01";"A";"M";"N";"12"
"2001-01";"A";"M";"R";"11.1"
"2001-01";"A";"U";"WMF";"767.949"
"2001-01";"A";"U";"N";"23.2"
"2001-01";"A";"U";"R";"20.9"
"2001-01";"A";"P";"WMF";"632.151"
"2001-01";"A";"P";"N";"14.5"
"2001-01";"A";"P";"R";"19.4"
"2001-01";"A";"TBS1";"WMF";"352.282"
"2001-01";"A";"TBS1";"N";"14.2"
"2001-01";"A";"TBS1";"R";"13"
"2001-01";"H";"T";"WMF";"-219.176"
"2001-02";"E";"T";"WMF";"11003.632"
"2001-02";"E";"T";"N";"6.4"
"2001-02";"E";"T";"R";"4.3"
"2001-02";"E";"MAE";"WMF";"2498.283"
"2001-02";"E";"MAE";"N";"0.2"
"2001-02";"E";"MAE";"R";"-0.2"
"2001-02";"E";"PUB";"WMF";"661.229"
"2001-02";"E";"PUB";"N";"12.2"
"2001-02";"E";"PUB";"R";"7.9"
"2001-02";"E";"C";"WMF";"2017.925"
"2001-02";"E";"C";"N";"24.2"
"2001-02";"E";"C";"R";"22.3"
"2001-02";"E";"TBS0";"WMF";"875.551"
"2001-02";"E";"TBS0";"N";"-2.9"
"2001-02";"E";"TBS0";"R";"-4.9"
"2001-02";"E";"F";"WMF";"1325.347"
"2001-02";"E";"F";"N";"15"
"2001-02";"E";"F";"R";"7.3"
"2001-02";"A";"T";"WMF";"11007.433"
"2001-02";"A";"T";"N";"6.1"
