"CubeId";"devkum"
"PublishingDate";"2017-10-02 14:30"

"Date";"D0";"D1";"Value"
"2001-01";"M0";"EUR1";"1.5291"
"2001-01";"M0";"GBP1";"2.407"
"2001-01";"M0";"DKK100";"20.481"
"2001-01";"M0";"NOK100";"18.5705"
"2001-01";"M0";"CZK100";"4.3513"
"2001-01";"M0";"HUF100";"0.5767"
"2001-01";"M0";"PLN100";"39.5819"
"2001-01";"M0";"RUB100";"5.7329"
"2001-01";"M0";"SEK100";"17.1767"
"2001-01";"M0";"TRY100";"0.000243"
"2001-01";"M0";"USD1";"1.6291"
"2001-01";"M0";"CAD1";"1.0836"
"2001-01";"M0";"ARS100";"162.9538"
"2001-01";"M0";"BRL100";"83.2381"
"2001-01";"M0";"MXN100";"16.6586"
"2001-01";"M0";"ZAR1";"0.209"
"2001-01";"M0";"JPY100";"1.393281"
"2001-01";"M0";"AUD1";"0.903786"
"2001-01";"M0";"CNY100";"19.67530435"
"2001-01";"M0";"HKD100";"20.885819"
"2001-01";"M0";"KRW100";"0.128"
"2001-01";"M0";"MYR100";"42.8657"
"2001-01";"M0";"NZD1";"0.7236"
"2001-01";"M0";"SGD100";"93.7286"
"2001-01";"M0";"THB100";"3.7771"
"2001-01";"M0";"XDR1";"2.121703"
"2001-02";"M0";"EUR1";"1.5355"
"2001-02";"M0";"GBP1";"2.422"
"2001-02";"M0";"DKK100";"20.567"
"2001-02";"M0";"NOK100";"18.6965"
"2001-02";"M0";"CZK100";"4.4306"
"2001-02";"M0";"HUF100";"0.5777"
"2001-02";"M0";"PLN100";"40.711"
"2001-02";"M0";"RUB100";"5.8155"
"2001-02";"M0";"SEK100";"17.1045"
"2001-02";"M0";"TRY100";"0.000223"
"2001-02";"M0";"USD1";"1.6661"
"2001-02";"M0";"CAD1";"1.0949"
"2001-02";"M0";"ARS100";"166.6355"
"2001-02";"M0";"BRL100";"83.105"
"2001-02";"M0";"MXN100";"17.1525"
"2001-02";"M0";"ZAR1";"0.2132"
"2001-02";"M0";"JPY100";"1.434075"
"2001-02";"M0";"AUD1";"0.8902"
"2001-02";"M0";"CNY100";"20.15145"
"2001-02";"M0";"HKD100";"21.360145"
"2001-02";"M0";"KRW100";"0.133"
"2001-02";"M0";"MYR100";"43.84"
"2001-02";"M0";"NZD1";"0.7241"
"2001-02";"M0";"SGD100";"95.546"
"2001-02";"M0";"THB100";"3.9048"
"2001-02";"M0";"XDR1";"2.156102"
"2001-03";"M0";"EUR1";"1.5357"
"2001-03";"M0";"GBP1";"2.4395"
"2001-03";"M0";"DKK100";"20.5673"
"2001-03";"M0";"NOK100";"18.8114"
"2001-03";"M0";"CZK100";"4.4388"
"2001-03";"M0";"HUF100";"0.5761"
"2001-03";"M0";"PLN100";"41.5214"
"2001-03";"M0";"RUB100";"5.8759"
"2001-03";"M0";"SEK100";"16.8123"
"2001-03";"M0";"TRY100";"0.00017"
"2001-03";"M0";"USD1";"1.6878"
"2001-03";"M0";"CAD1";"1.0844"
"2001-03";"M0";"ARS100";"168.8082"
"2001-03";"M0";"BRL100";"80.8409"
"2001-03";"M0";"MXN100";"17.5795"
"2001-03";"M0";"ZAR1";"0.2139"
"2001-03";"M0";"JPY100";"1.391191"
"2001-03";"M0";"AUD1";"0.850482"
"2001-03";"M0";"CNY100";"20.43436364"
"2001-03";"M0";"HKD100";"21.639077"
"2001-03";"M0";"KRW100";"0.1307"
"2001-03";"M0";"MYR100";"44.43"
"2001-03";"M0";"NZD1";"0.7058"
"2001-03";"M0";"SGD100";"95.2459"
"2001-03";"M0";"THB100";"3.8412"
"2001-03";"M0";"XDR1";"2.160613"
"2001-04";"M0";"EUR1";"1.5287"
"2001-04";"M0";"GBP1";"2.4563"
"2001-04";"M0";"DKK100";"20.4774"
"2001-04";"M0";"NOK100";"18.8347"
"2001-04";"M0";"CZK100";"4.423"
"2001-04";"M0";"HUF100";"0.5723"
"2001-04";"M0";"PLN100";"42.52"
"2001-04";"M0";"RUB100";"5.9232"
"2001-04";"M0";"SEK100";"16.7737"
"2001-04";"M0";"TRY100";"0.000139"
"2001-04";"M0";"USD1";"1.712"
"2001-04";"M0";"CAD1";"1.0977"
"2001-04";"M0";"ARS100";"171.2737"
"2001-04";"M0";"BRL100";"77.9895"
"2001-04";"M0";"MXN100";"18.3163"
"2001-04";"M0";"ZAR1";"0.2117"
"2001-04";"M0";"JPY100";"1.383437"
"2001-04";"M0";"AUD1";"0.855637"
"2001-04";"M0";"CNY100";"20.69019048"
"2001-04";"M0";"HKD100";"21.949274"
"2001-04";"M0";"KRW100";"0.1289"
"2001-04";"M0";"MYR100";"45.0463"
"2001-04";"M0";"NZD1";"0.6949"
"2001-04";"M0";"SGD100";"94.4458"
"2001-04";"M0";"THB100";"3.7619"
"2001-04";"M0";"XDR1";"2.172553"
"2001-05";"M0";"EUR1";"1.5337"
"2001-05";"M0";"GBP1";"2.4975"
"2001-05";"M0";"DKK100";"20.551"
"2001-05";"M0";"NOK100";"19.1705"
"2001-05";"M0";"CZK100";"4.4596"
