Date;D0;D1;Value
1914-01;M0;EUR1;
1914-01;M0;GBP1;25.28
1914-01;M0;DKK100;
1914-01;M0;NOK100;
1914-01;M0;CZK100;
1914-01;M0;HUF100;
1914-01;M0;PLN100;
1914-01;M0;RUB100;
1914-01;M0;SEK100;
1914-01;M0;TRY100;
1914-01;M0;USD1;5.186
1914-01;M0;CAD1;
1914-01;M0;ARS100;
1914-01;M0;BRL100;
1914-01;M0;MXN100;
1914-01;M0;ZAR1;
1914-01;M0;JPY100;
1914-01;M0;AUD1;
1914-01;M0;CNY100;
1914-01;M0;HKD100;
1914-01;M0;KRW100;
1914-01;M0;MYR100;
1914-01;M0;NZD1;
1914-01;M0;SGD100;
1914-01;M0;THB100;
1914-01;M0;XDR1;
1914-01;M1;EUR1;
1914-01;M1;GBP1;
1914-01;M1;DKK100;
1914-01;M1;NOK100;
1914-01;M1;CZK100;
1914-01;M1;HUF100;
1914-01;M1;PLN100;
1914-01;M1;RUB100;
1914-01;M1;SEK100;
1914-01;M1;TRY100;
1914-01;M1;USD1;
1914-01;M1;CAD1;
1914-01;M1;ARS100;
1914-01;M1;BRL100;
1914-01;M1;MXN100;
1914-01;M1;ZAR1;
1914-01;M1;JPY100;
1914-01;M1;AUD1;
1914-01;M1;CNY100;
1914-01;M1;HKD100;
1914-01;M1;KRW100;
1914-01;M1;MYR100;
1914-01;M1;NZD1;
1914-01;M1;SGD100;
1914-01;M1;THB100;
1914-01;M1;XDR1;
1914-02;M0;EUR1;
1914-02;M0;GBP1;25.195
1914-02;M0;DKK100;
1914-02;M0;NOK100;
1914-02;M0;CZK100;
1914-02;M0;HUF100;
1914-02;M0;PLN100;
1914-02;M0;RUB100;
1914-02;M0;SEK100;
1914-02;M0;TRY100;
1914-02;M0;USD1;5.178
1914-02;M0;CAD1;
1914-02;M0;ARS100;
1914-02;M0;BRL100;
1914-02;M0;MXN100;
1914-02;M0;ZAR1;
1914-02;M0;JPY100;
1914-02;M0;AUD1;
1914-02;M0;CNY100;
1914-02;M0;HKD100;
1914-02;M0;KRW100;
1914-02;M0;MYR100;
1914-02;M0;NZD1;
1914-02;M0;SGD100;
1914-02;M0;THB100;
1914-02;M0;XDR1;
1914-02;M1;EUR1;
1914-02;M1;GBP1;
1914-02;M1;DKK100;
1914-02;M1;NOK100;
1914-02;M1;CZK100;
1914-02;M1;HUF100;
1914-02;M1;PLN100;
1914-02;M1;RUB100;
1914-02;M1;SEK100;
1914-02;M1;TRY100;
1914-02;M1;USD1;
1914-02;M1;CAD1;
1914-02;M1;ARS100;
1914-02;M1;BRL100;
1914-02;M1;MXN100;
1914-02;M1;ZAR1;
1914-02;M1;JPY100;
1914-02;M1;AUD1;
1914-02;M1;CNY100;
1914-02;M1;HKD100;
1914-02;M1;KRW100;
1914-02;M1;MYR100;
1914-02;M1;NZD1;
1914-02;M1;SGD100;
1914-02;M1;THB100;
1914-02;M1;XDR1;
1914-03;M0;EUR1;
1914-03;M0;GBP1;25.207
1914-03;M0;DKK100;
1914-03;M0;NOK100;
1914-03;M0;CZK100;
1914-03;M0;HUF100;
1914-03;M0;PLN100;
1914-03;M0;RUB100;
1914-03;M0;SEK100;
1914-03;M0;TRY100;
1914-03;M0;USD1;5.177
1914-03;M0;CAD1;
1914-03;M0;ARS100;
1914-03;M0;BRL100;
1914-03;M0;MXN100;
1914-03;M0;ZAR1;
1914-03;M0;JPY100;
1914-03;M0;AUD1;
1914-03;M0;CNY100;
1914-03;M0;HKD100;
1914-03;M0;KRW100;
1914-03;M0;MYR100;
1914-03;M0;NZD1;
1914-03;M0;SGD100;
1914-03;M0;THB100;
1914-03;M0;XDR1;
1914-03;M1;EUR1;
1914-03;M1;GBP1;
1914-03;M1;DKK100;
1914-03;M1;NOK100;
1914-03;M1;CZK100;
1914-03;M1;HUF100;
